CountryName,CountryCode,populationOf1960,populationOf1970,populationOf1980,populationOf1990,populationOf2000,populationOf2010,populationOf2016
Aruba,ABW,54211,59063,60096,62149,90853,101669,104822
Afghanistan,AFG,8996351,11126123,13248370,12249114,20093756,28803167,34656032
Angola,AGO,5643182,6776381,8929900,12171441,16440924,23369131,28813463
Albania,ALB,1608800,2135479,2671997,3286542,3089027,2913021,2876101
Andorra,AND,13411,24276,36067,54509,65390,84449,77281
Arab World,ARB,92490932,122398374,165689490,224735446,283832016,356508908,406452690
United Arab Emirates,ARE,92634,235499,1042384,1860174,3154925,8270684,9269612
Argentina,ARG,20619075,23973058,28105888,32729739,37057452,41223889,43847430
Armenia,ARM,1874120,2525065,3099751,3538165,3069588,2877311,2924816
American Samoa,ASM,20013,27292,32457,47038,57521,55637,55599
Antigua and Barbuda,ATG,55339,67098,73442,66696,83584,94661,100963
Australia,AUS,10276477,12507000,14692000,17065100,19153000,22031750,24210809
Austria,AUT,7047539,7467086,7549433,7677850,8011566,8363404,8731471
Azerbaijan,AZE,3895396,5180025,6150738,7159000,8048600,9054332,9757812
Burundi,BDI,2786106,3455606,4116817,5415415,6400706,8766930,10524117
Belgium,BEL,9153489,9655549,9859242,9967379,10251250,10895586,11338476
Benin,BEN,2431622,2912340,3717165,4978496,6865951,9199259,10872298
Burkina Faso,BFA,4829288,5624600,6822843,8811034,11607942,15605217,18646433
Bangladesh,BGD,48199747,65047770,81470860,106188642,131581243,152149102,162951560
Bulgaria,BGR,7867374,8489574,8861535,8718289,8170172,7395599,7127822
Bahrain,BHR,162427,212605,359888,495931,664614,1240862,1425171
"Bahamas, The",BHS,109528,169354,210661,256336,297890,360832,391232
Bosnia and Herzegovina,BIH,3225668,3760527,4179855,4463422,3766706,3722084,3516816
Belarus,BLR,8198000,9040000,9643000,10189000,9979610,9490583,9501534
Belize,BLZ,92064,122182,144155,187552,247315,321608,366954
Bermuda,BMU,44400,55000,54670,59326,61833,65124,65376
Bolivia,BOL,3693449,4505778,5589575,6856244,8339512,9918242,10887882
Brazil,BRA,72207554,95326793,121159761,149352145,175287587,196796269,207652865
Barbados,BRB,230939,238848,252194,260374,269847,279569,284996
Brunei Darussalam,BRN,81745,129583,193949,258785,333241,388662,423196
Bhutan,BTN,223288,298301,409172,537280,573416,727641,797765
Botswana,BWA,524552,695597,1001158,1377912,1728340,2014866,2250260
Canada,CAN,17909009,21324000,24593000,27791000,30769700,34005274,36264604
Switzerland,CHE,5327827,6180877,6319408,6715519,7184250,7824909,8372413
Channel Islands,CHI,109420,121197,128212,140671,148725,159581,164541
Chile,CHL,7716625,9563865,11266226,13242132,15262754,16993354,17909754
China,CHN,667070000,818315000,981235000,1135185000,1262645000,1337705000,1378665000
Cote d'Ivoire,CIV,3558988,5242395,8293675,12267754,16686561,20401331,23695919
Cameroon,CMR,5176268,6527635,8618354,11715218,15274234,19970495,23439189
"Congo, Dem. Rep.",COD,15248251,20009935,26357462,34614581,47076387,64523263,78736153
"Congo, Rep.",COG,1037220,1364812,1839935,2440457,3225727,4386693,5125821
Colombia,COL,16480383,22061215,27737900,34271565,40403958,45918097,48653419
Comoros,COM,191121,230054,307829,411594,542357,689692,795601
Cabo Verde,CPV,202310,270198,286657,341883,435079,502384,539560
Costa Rica,CRI,1333040,1848866,2389310,3095995,3925443,4545280,4857274
Cuba,CUB,7141135,8715123,9835177,10582081,11150736,11333051,11475982
Curacao,CUW,124826,144739,148041,145400,133860,148703,159663
Cayman Islands,CYM,7865,9144,16162,25010,41687,55507,60765
Cyprus,CYP,572930,613621,685406,766614,943286,1112607,1170125
Czech Republic,CZE,9602006,9858071,10304193,10333355,10255063,10474410,10566332
Germany,DEU,72814900,78169289,78288576,79433029,82211508,81776930,82487842
Djibouti,DJI,83636,159659,358960,590398,717584,851146,942333
Dominica,DMA,60011,71073,75314,70926,69676,71440,73543
Denmark,DNK,4579603,4928757,5123027,5140939,5339616,5547683,5728010
Dominican Republic,DOM,3294042,4503114,5809269,7183647,8562622,9897985,10648791
Algeria,DZA,11124888,14550034,19337715,25912367,31183660,36117637,40606052
Ecuador,ECU,4545550,6072527,7976445,10218091,12628596,14934690,16385068
"Egypt, Arab Rep.",EGY,26996533,35046273,44099142,57412215,69905988,84107606,95688681
Euro area,EMU,265396502,287416205,302363486,311539698,321310787,336151474,340762347
Eritrea,ERI,1397491,1811878,2385540,3113311,3392801,4390840,4474690
Spain,ESP,30455000,33814531,37491165,38867322,40567864,46576897,46484533
Estonia,EST,1211537,1360076,1477219,1569174,1396985,1331475,1315790
Ethiopia,ETH,22151278,28415077,35264898,48086516,66537331,87702670,102403196
European Union,EUU,409498463,442062266,464392913,478005307,488178832,504421126,511360932
Finland,FIN,4429634,4606307,4779535,4986431,5176209,5363352,5495303
Fiji,FJI,393386,520529,635255,728628,811223,859950,898760
France,FRA,46814237,52035095,55340782,58512808,60912500,65027507,66892205
Faroe Islands,FRO,34661,39083,43514,47594,47258,48550,49117
"Micronesia, Fed. Sts.",FSM,44537,61431,72964,96331,107432,103616,104937
Gabon,GAB,499184,590118,729159,952212,1231122,1640210,1979786
United Kingdom,GBR,52400000,55663250,56314216,57247586,58892514,62766365,65595565
Georgia,GEO,3645600,4119900,4467700,4802000,4418300,3926000,3719300
Ghana,GHA,6652287,8596983,10802028,14628260,18938762,24512104,28206728
Gibraltar,GIB,23394,28560,30272,29164,31180,33189,34408
Guinea,GIN,3577409,4219770,4511902,6041094,8808546,10794170,12395924
"Gambia, The",GMB,367928,447285,604369,916808,1231844,1692149,2038501
Guinea-Bissau,GNB,616409,711827,800854,1012280,1243229,1555880,1815698
